N,P,K,pH,rainfall,temperature,humidity,soil_type,yield
100,50,45,6.5,950,25,65,Loamy,42.5
80,40,35,6.0,800,24,60,Loamy,38.2
120,60,55,7.0,1100,26,70,Loamy,45.8
90,45,40,6.2,900,25,62,Silty,36.9
110,55,50,6.8,1000,26,68,Loamy,44.1
70,35,30,5.8,750,23,58,Sandy,32.5
130,65,60,7.2,1150,27,72,Clay,40.3
85,42,38,6.1,850,24,61,Silty,35.7
115,58,52,6.9,1050,26,69,Loamy,43.6
75,38,33,5.9,780,23,59,Sandy,33.8
125,62,58,7.1,1120,27,71,Clay,39.5
95,48,43,6.3,920,25,63,Silty,37.4
105,52,48,6.7,980,26,67,Loamy,41.9
65,32,28,5.7,720,22,57,Sandy,30.1
135,68,62,7.3,1180,28,73,Clay,38.7
88,44,39,6.2,880,24,62,Silty,36.3
112,56,51,6.8,1020,26,68,Loamy,42.8
78,39,34,6.0,800,23,60,Sandy,34.2
122,61,56,7.0,1100,27,70,Clay,39.1
92,46,41,6.3,910,25,63,Silty,37.0
102,51,46,6.6,960,26,66,Loamy,40.5
72,36,31,5.8,740,23,58,Sandy,31.8
132,66,61,7.2,1140,27,72,Clay,38.9
82,41,36,6.1,830,24,61,Silty,35.0
118,59,54,6.9,1070,26,69,Loamy,43.2
68,34,29,5.7,730,22,57,Sandy,30.9
128,64,59,7.1,1130,27,71,Clay,39.0
98,49,44,6.4,940,25,64,Silty,38.1
108,54,49,6.7,990,26,67,Loamy,42.3
62,31,27,5.6,700,22,56,Sandy,29.5
138,69,63,7.4,1200,28,74,Clay,37.8
86,43,38,6.1,860,24,61,Silty,35.9
114,57,52,6.8,1030,26,68,Loamy,43.0
76,38,33,5.9,770,23,59,Sandy,33.2
124,62,57,7.0,1110,27,70,Clay,39.3
94,47,42,6.3,930,25,63,Silty,37.6
104,52,47,6.6,970,26,66,Loamy,41.4
64,32,28,5.7,710,22,56,Sandy,29.8
134,67,62,7.3,1170,28,73,Clay,38.5
84,42,37,6.1,840,24,61,Silty,35.4
116,58,53,6.9,1060,26,69,Loamy,43.4
74,37,32,5.9,760,23,59,Sandy,32.7
126,63,58,7.1,1120,27,71,Clay,39.4
96,48,43,6.4,950,25,64,Silty,38.5
106,53,48,6.7,980,26,67,Loamy,42.1
66,33,29,5.7,720,22,57,Sandy,30.4
136,68,63,7.3,1190,28,73,Clay,38.2
90,45,40,6.2,900,25,62,Silty,36.7
110,55,50,6.8,1010,26,68,Loamy,42.9
80,40,35,6.0,810,24,60,Sandy,34.6
120,60,55,7.0,1090,27,70,Clay,39.8
